,FIGHTER,RECORD,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,FIGHTER_ID
10,Danny Sabatello,Record: 8-1-0,"5' 9""",135 lbs.,--,,"Mar 31, 1993",0.0,0%,0.0,0%,0.0,0%,0%,0.0,cb7ee07982de2a28
11,Luis Saldana,Record: 14-6-0,"5' 11""",145 lbs.,"73""",Orthodox,"Jan 27, 1991",0.0,0%,0.0,0%,0.0,0%,0%,0.0,12e0fdc606f7e274
12,Shaheen Santana,Record: 6-0-0,--,155 lbs.,--,,"Jun 04, 1991",0.0,0%,0.0,0%,0.0,0%,0%,0.0,19809d475ed832d5
13,Liliya Shakirova,Record: 8-2-0,"5' 4""",125 lbs.,"65""",Orthodox,"Oct 24, 1991",2.7,30%,2.58,74%,0.0,0%,0%,0.0,f300763147320d12
14,Jamey Simmons,Record: 7-2-0,"5' 5""",145 lbs.,--,Orthodox,"Sep 11, 1992",0.0,0%,0.0,0%,0.0,0%,0%,0.0,f0fad0e9f3b65752
15,Ben Earwood,Record: 12-3-0,"5' 8""",170 lbs.,--,Orthodox,--,0.5,55%,0.2,33%,3.0,100%,0%,0.0,ee457ef1e1c326c1
16,Cody East,Record: 12-3-0,"6' 3""",245 lbs.,"74""",Orthodox,"Jun 29, 1988",4.15,43%,7.32,40%,3.97,100%,16%,0.0,5713c1d2fac539ac
17,Marvin Eastman,Record: 18-15-1,"5' 9""",185 lbs.,"73""",Orthodox,"Jun 08, 1971",2.21,35%,3.92,42%,1.38,33%,81%,0.0,05866d8c3a321856
18,Mike Easton,Record: 13-6-0,"5' 6""",135 lbs.,"70""",Southpaw,"Jan 25, 1984",3.51,37%,4.28,61%,0.75,22%,66%,0.0,bc7230f231701d66
19,Maurice Eazel,Record: 7-15-0,"5' 7""",135 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,4acb99524a9a81ab
20,Vincent Eazelle,Record: 9-2-0,"5' 11""",155 lbs.,--,--,"Dec 07, 1980",0.0,0%,0.0,0%,0.0,0%,0%,0.0,ec421d5de0aea624
21,Ross Ebanez,Record: 20-10-0 (3 NC),"5' 9""",154 lbs.,--,Southpaw,"May 18, 1975",0.74,50%,0.74,62%,3.7,100%,0%,0.0,a5b0bd216d8ba84e
22,Brian Ebersole,Record: 51-18-1 (1 NC),"6' 0""",170 lbs.,"73""",Southpaw,"Nov 27, 1980",2.32,49%,2.14,56%,1.7,23%,61%,0.1,32ba186f4b0e3267
23,Mark Eddiva,Record: 6-3-0,"5' 8""",145 lbs.,"68""",Orthodox,"Feb 16, 1986",3.37,45%,2.98,54%,1.45,22%,63%,0.0,40ff198adda94b9f
24,Frankie Edgar,Record: 23-8-1,"5' 6""",135 lbs.,"68""",Orthodox,"Oct 16, 1981",3.7,39%,2.7,66%,2.28,31%,65%,0.3,f2688492b9a525a3
25,Abdul-Kerim Edilov,Record: 17-4-0,"6' 2""",205 lbs.,"78""",Orthodox,"Nov 25, 1991",10.22,61%,0.13,92%,3.98,100%,0%,2.0,37e03538c960bac6
26,Johnny Eduardo,Record: 28-12-0,"5' 7""",135 lbs.,"71""",Orthodox,"Aug 03, 1978",2.89,38%,3.34,63%,0.0,0%,62%,0.5,528c24b99fbaab79
27,Yves Edwards,Record: 42-22-1 (1 NC),"5' 9""",155 lbs.,"73""",Southpaw,"Sep 30, 1976",2.91,42%,2.34,66%,0.76,53%,69%,0.7,5f04e3d58d9ce982
28,Justin Edwards,Record: 9-5-0,"5' 10""",155 lbs.,"70""",Orthodox,"Jan 26, 1983",2.68,42%,3.32,51%,2.14,26%,27%,1.0,e56daf7725a0b5ab
29,Leon Edwards,Record: 18-3-0,"6' 2""",170 lbs.,"74""",Southpaw,"Aug 25, 1991",2.53,47%,2.05,55%,1.39,31%,70%,0.4,f1fac969a1d70b08
30,Te Edwards,Record: 6-3-0,"5' 8""",155 lbs.,"72""",Orthodox,"Sep 11, 1990",1.5,41%,4.15,44%,0.72,100%,44%,0.0,ef44e4ea9050f2ea
31,Adli Edwards,Record: 4-1-0,--,145 lbs.,--,--,"Aug 28, 1989",0.0,0%,0.0,0%,0.0,0%,0%,0.0,e6904a03a66e711d
32,Tom Egan,Record: 7-5-0,"5' 11""",170 lbs.,--,Orthodox,--,0.0,0%,3.91,50%,0.0,0%,28%,0.0,eae4aec1a5a8ff01
33,Stephanie Egger,Record: 5-2-0,"5' 6""",135 lbs.,"68""",Orthodox,"Aug 12, 1988",0.67,31%,1.33,52%,1.0,16%,40%,0.0,5e6294b37bbef029
34,Justin Eilers,Record: 19-7-1,"6' 1""",235 lbs.,--,Orthodox,"Jun 28, 1978",2.86,43%,5.66,49%,0.82,25%,50%,0.0,27fc9218a3653e3c
35,Jon Olav Einemo,Record: 6-3-0,"6' 6""",253 lbs.,--,Orthodox,"Dec 10, 1975",2.15,52%,3.05,52%,1.73,55%,43%,0.0,0577808d22dfe79c
36,Per Eklund,Record: 14-5-1,"5' 10""",155 lbs.,"72""",Orthodox,1980.11.12,2.07,61%,2.38,67%,2.07,11%,50%,3.6,58bc81376286b3d3
37,John Elam,Record: 2-0-0,--,--,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,22d80fb67e50ab0b
38,John Paul Elias,Record: 3-1-0,"6' 4""",205 lbs.,--,--,1988.11.03,0.0,0%,0.0,0%,0.0,0%,0%,0.0,e873203fd50542f6
39,Saul Elizondo,Record: 6-8-0,"5' 7""",135 lbs.,"66.0""",--,"Jul 17, 1985",2.07,30%,4.93,48%,2.0,100%,66%,1.0,e295b96f135d758a
40,Darren Elkins,Record: 25-9-0,"5' 10""",145 lbs.,"71""",Orthodox,"May 16, 1984",3.54,37%,3.09,52%,2.43,33%,58%,1.2,92a9aa9c93192871
41,Jake Ellenberger,Record: 31-15-0,"5' 9""",170 lbs.,"71""",Orthodox,"Mar 28, 1985",2.47,39%,2.83,60%,2.04,47%,86%,0.4,d81ac739417d7f53
42,Joe Ellenberger,Record: 15-2-0,"5' 9""",155 lbs.,"72""",Orthodox,"Mar 28, 1985",1.62,47%,3.45,48%,3.17,40%,0%,1.1,8e8e4487c621aa1c
43,Tim Elliott,Record: 17-11-1,"5' 7""",125 lbs.,"66""",Southpaw,"Dec 24, 1986",3.5,45%,2.64,59%,4.02,48%,58%,1.2,c96d9178c9ed9e62
44,Eddy Ellis,Record: 21-16-1 (1 NC),"5' 9""",170 lbs.,--,Orthodox,1983.07.07,3.4,69%,1.53,68%,4.0,66%,50%,2.0,e60d773a0a42048a
45,Lisa Ellis,Record: 15-11-0,"5' 4""",115 lbs.,"62.0""",--,"Nov 15, 1982",1.68,48%,2.32,57%,4.19,63%,50%,0.6,77350fd0e6d1dba8
46,Anna Elmose,Record: 3-2-0,"5' 3""",115 lbs.,"65""",Orthodox,"Oct 06, 1984",3.68,49%,4.64,56%,0.0,0%,33%,0.0,1536a25e16fc299b
47,Cameron Else,Record: 10-5-0,"5' 9""",135 lbs.,"71""",Switch,"Apr 27, 1987",1.92,36%,5.58,58%,0.0,0%,0%,0.0,5f3da9a9610d8969
48,Aaron Ely,Record: 5-2-0,"5' 8""",135 lbs.,"70.0""",--,"Mar 18, 1989",0.82,15%,0.66,69%,2.47,100%,50%,4.9,1741343f0ca34dd5
49,Sovannahry Em,Record: 3-1-0,"5' 4""",135 lbs.,--,--,"Jun 26, 1992",0.0,0%,0.0,0%,0.0,0%,0%,0.0,45c8fed13a62fe92
50,Ramazan Emeev,Record: 19-4-0,"5' 10""",170 lbs.,"76""",Southpaw,"May 23, 1987",2.29,43%,1.79,68%,2.0,25%,72%,0.6,abd5fb12437eda21
51,Aleksander Emelianenko,Record: 23-7-0,"6' 6""",255 lbs.,--,Orthodox,"Aug 02, 1981",2.75,41%,1.7,65%,2.32,72%,66%,0.9,f54200f1dfb9b5d4
52,Fedor Emelianenko,Record: 36-5-0 (1 NC),"6' 0""",230 lbs.,"74""",Orthodox,"Sep 28, 1976",3.18,51%,1.0,63%,2.0,63%,82%,1.9,b8da6f5c80ae2d15
53,Rob Emerson,Record: 18-12-0 (1 NC),"5' 9""",155 lbs.,"70""",Orthodox,"Jul 30, 1981",2.5,30%,2.83,64%,2.02,52%,65%,0.4,dc0f07928009a127
54,Jamall Emmers,Record: 18-5-0,"5' 10""",145 lbs.,"74""",Orthodox,"Jul 24, 1989",5.75,52%,4.65,54%,2.9,53%,100%,0.0,e00a3dee329a51f7
55,Josh Emmett,Record: 16-2-0,"5' 6""",145 lbs.,"70""",Orthodox,"Mar 04, 1985",4.32,39%,4.02,63%,1.43,47%,50%,0.1,fba03cd6cc28dc41
56,Marius Enache,Record: 3-3-0,"5' 11""",155 lbs.,"70.0""",--,"Oct 16, 1975",1.71,34%,0.66,84%,3.94,100%,0%,3.9,e3f443e4cbc3da8f
57,Kevin Engel,Record: 5-1-0,"6' 2""",170 lbs.,--,--,1980.04.09,0.0,0%,0.0,0%,0.0,0%,0%,0.0,d2f310b5b072e986
58,Oliver Enkamp,Record: 7-2-0,"6' 0""",170 lbs.,"77""",Switch,"Aug 10, 1991",2.38,36%,3.55,37%,0.87,16%,0%,0.0,330bafba312face4
59,Alex Enlund,Record: 14-2-0 (1 NC),"5' 10""",145 lbs.,"73""",Orthodox,"May 27, 1987",0.0,0%,0.0,0%,0.0,0%,0%,0.0,d238217e0f8ea8e1
60,Kenny Ento,Record: 14-15-0,"6' 2""",192 lbs.,--,--,--,8.41,79%,0.0,100%,5.49,100%,0%,11.0,daf9be103c1edbbd
61,Ian Entwistle,Record: 9-3-0,"5' 5""",135 lbs.,"64""",Orthodox,"Nov 19, 1986",0.11,7%,7.36,31%,0.0,0%,0%,12.1,d7adfcfdf7c6c1f8
62,Andy Enz,Record: 10-4-0,"6' 3""",185 lbs.,"78""",Orthodox,"Aug 15, 1991",3.51,23%,5.32,57%,0.0,0%,58%,0.0,993d385f5a475375
63,Won Jin Eoh,Record: 5-5-1,"5' 7""",160 lbs.,--,Orthodox,--,3.74,44%,3.58,46%,0.0,0%,50%,0.0,bc7cf284c1c2f16e
64,Josh Epps,Record: 6-7-0,"5'7""",130 lbs.,--,--,"Aug 23, 1986",0.0,0%,0.0,0%,0.0,0%,0%,0.0,984b0c4c6e773a1c
65,Tom Erikson,Record: 9-4-1,"6' 3""",280 lbs.,--,Orthodox,1964.07.06,0.94,47%,1.87,25%,4.68,60%,100%,6.2,7b9a85e5ff31ef47
66,Konstantin Erokhin,Record: 9-3-0,"5' 11""",230 lbs.,"73""",Orthodox,"Jan 31, 1983",1.07,36%,1.83,47%,0.0,0%,70%,0.0,22061ff217907c78
67,Julian Erosa,Record: 24-9-0,"6' 1""",145 lbs.,"74""",Southpaw,"Jul 31, 1989",4.92,46%,5.67,50%,1.34,54%,58%,0.9,902ec2cc48c8ae8a
68,Nick Ertl,Record: 8-6-0,"5' 9""",155 lbs.,--,--,--,1.34,69%,1.59,41%,1.88,50%,0%,0.0,74061adb224be3cc
69,Chel Erwin-Davis,Record: 5-1-0,"6' 0""",170 lbs.,"75.5""",--,1986.07.10,4.06,54%,1.13,61%,4.25,100%,50%,1.4,c26ea30823f37316
70,Bobby Escalante,Record: 5-6-0,"5'6""",130 lbs.,--,--,1989.07.11,0.0,0%,0.0,0%,0.0,0%,0%,0.0,f7ede18b4ec4ec1f
71,Eric Esch,Record: 15-10-1,"5' 11""",350 lbs.,"72.0""",Orthodox,"Aug 03, 1968",3.07,71%,1.74,43%,0.0,0%,0%,2.0,0e4daed84a8f39a6
72,Pro Escobedo,Record: 1-0-0,--,205 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,b36874652ed7715d
73,Cole Escovedo,Record: 17-9-0,"5' 7""",135 lbs.,"72""",Orthodox,"Aug 30, 1981",1.77,43%,4.32,49%,0.43,33%,13%,0.0,5df17b3620145578
74,Efrain Escudero,Record: 28-12-0,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 15, 1986",2.92,44%,2.3,63%,1.31,40%,66%,0.8,83fd97284f4bb4a4
75,Evan Esguerra,Record: 8-7-0 (1 NC),"5'7""",145 lbs.,--,--,1978.07.13,0.0,0%,0.0,0%,0.0,0%,0%,0.0,ed220e87bef0cc64
76,Carla Esparza,Record: 18-6-0,"5' 1""",115 lbs.,"63""",Orthodox,"Oct 10, 1987",2.29,42%,2.85,53%,3.44,35%,48%,0.3,d910665038efc639
77,Juan Espino,Record: 11-1-0,"6' 3""",250 lbs.,"80""",Orthodox,"Oct 09, 1980",4.32,80%,0.54,42%,14.19,77%,0%,6.1,ccf5dc41417e9daf
78,Jordan Espinosa,Record: 15-8-0 (1 NC),"5' 6""",125 lbs.,"69""",Orthodox,"Nov 08, 1989",4.99,53%,3.23,58%,0.92,28%,90%,0.2,215a70f073a7b726
79,Jodie Esquibel,Record: 6-6-0,"5' 1""",115 lbs.,"64""",Orthodox,"May 07, 1986",4.1,31%,7.37,52%,0.75,21%,83%,0.0,411539901068522f
80,Terry Etim,Record: 16-5-0,"6' 1""",155 lbs.,"73""",Orthodox,"Jan 11, 1986",2.16,35%,2.53,67%,0.43,30%,39%,1.4,33011768c3c4dc9a
81,Fred Ettish,Record: 1-1-0,"6' 0""",180 lbs.,--,Southpaw,1955.10.12,0.0,0%,0.0,0%,0.0,0%,0%,0.0,8d5daf67983b65ba
82,Scott Ettling,Record: 4-2-0,"5'9""",135 lbs.,"67.5""",--,1992.07.17,0.0,0%,0.54,83%,8.04,100%,0%,0.0,74b5736f1df40be3
83,Sijara Eubanks,Record: 7-5-0,"5' 4""",135 lbs.,"67""",Orthodox,"Apr 27, 1985",4.7,42%,3.34,60%,1.86,46%,61%,0.4,4234f0097c83fa62
84,Billy Evangelista,Record: 13-3-0 (1 NC),"5' 8""",155 lbs.,"68""",Orthodox,"Oct 07, 1980",4.51,40%,3.96,61%,1.6,19%,61%,0.2,9766ed20b68c7c33
85,Rashad Evans,Record: 19-8-1,"6' 0""",205 lbs.,"75""",Orthodox,"Sep 25, 1979",2.14,37%,2.42,63%,2.98,44%,73%,0.0,ee779c43a8926d52
86,Doug Evans,Record: 13-10-0,"5' 9""",155 lbs.,--,Orthodox,"Oct 10, 1980",1.79,35%,2.55,55%,3.19,83%,69%,0.6,d3de4a24f7eefac8
87,Ashlee Evans-Smith,Record: 6-4-0,"5' 8""",125 lbs.,"67""",Orthodox,"Jul 09, 1987",4.86,35%,4.39,57%,1.3,25%,72%,0.0,fc6e681bf6658faf
88,Dan Evensen,Record: 11-4-0,"6' 3""",250 lbs.,--,Orthodox,"Jun 01, 1974",0.27,10%,3.86,38%,0.0,0%,0%,4.0,dd8aec6de7035943
89,Tonya Evinger,Record: 19-8-0 (1 NC),"5' 7""",135 lbs.,"70""",Orthodox,"Jun 04, 1981",1.16,42%,4.02,38%,0.93,30%,33%,0.9,b12a1d19ee383b7c
90,Movsar Evloev,Record: 13-0-0,"5' 7""",145 lbs.,"72""",Orthodox,"Feb 11, 1994",4.44,43%,2.76,65%,3.0,33%,68%,0.0,76e2870ffafbe38f
91,Andre Ewell,Record: 17-6-0,"5' 8""",135 lbs.,"75""",Southpaw,"Jan 21, 1988",4.5,41%,4.2,54%,0.17,50%,73%,0.0,5f6f049d54728e88
92,Neal Ewing,Record: 6-0-0,"6'1""",185 lbs.,"76.0""",--,"Sep 30, 1985",2.27,60%,1.93,48%,5.0,62%,0%,0.0,0798f558681d0eb5
93,Jessica Eye,Record: 15-8-0 (1 NC),"5' 6""",125 lbs.,"66""",Orthodox,"Jul 27, 1986",3.65,36%,3.54,58%,0.4,45%,56%,0.6,f72465a784c1b084
94,Sarah D'alelio,Record: 11-7-0,"5' 7""",145 lbs.,--,--,"Dec 13, 1980",2.4,33%,0.0,100%,0.0,0%,100%,0.0,ac45450f75d14f16
95,Marcos da Matta,Record: 11-3-0,"5' 4""",145 lbs.,--,--,"Mar 18, 1973",0.0,0%,0.0,0%,0.0,0%,0%,0.0,3b6d84343579fd33
96,Henrique da Silva,Record: 14-5-0,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 01, 1989",3.89,60%,5.28,40%,0.25,14%,22%,0.2,b0bd0c5425668b8f
97,Alex Da Silva,Record: 21-3-0,"5' 8""",155 lbs.,"73""",Orthodox,"Feb 04, 1996",2.07,46%,2.65,55%,2.75,43%,77%,0.4,c3ded6f7155f9ea4
98,Henrique Da Silva Lopes,Record: 5-2-0,"6' 3""",240 lbs.,--,--,"Mar 08, 1985",0.0,0%,0.0,0%,0.0,0%,0%,0.0,1f8cd7634e8286ff
99,Nicolas Dalby,Record: 18-4-1 (1 NC),"5' 11""",170 lbs.,"74""",Orthodox,"Nov 16, 1984",3.17,38%,3.19,54%,1.74,45%,58%,0.0,9d19d9e4aa2662e8
100,Paul Daley,Record: 39-15-2,"5' 9""",170 lbs.,"76""",Orthodox,"Feb 21, 1983",3.14,47%,2.37,60%,0.91,40%,64%,0.0,23725c826c481e7f
101,Dave Dalgliesh,Record: 30-19-2,"6' 2""",205 lbs.,--,Orthodox,"Apr 05, 1978",0.0,0%,1.85,50%,0.0,0%,0%,0.0,ddbd0d6259ce57cc
102,Richard Dalton,Record: 4-3-1,"6' 1""",205 lbs.,--,Orthodox,--,1.2,69%,3.27,25%,1.0,11%,0%,0.0,6cd3dfc54f01287f
103,Aisling Daly,Record: 16-6-0,"5' 2""",115 lbs.,"64""",Orthodox,"Dec 24, 1987",2.92,52%,1.4,55%,2.15,41%,33%,0.9,e50cd77732d39967
104,Marko Damiani,Record: 0-2-0,"6' 0""",170 lbs.,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,6e9b5c74c0860deb
105,Rodrigo Damm,Record: 13-9-0,"5' 7""",155 lbs.,"71""",Orthodox,"Feb 03, 1980",3.5,36%,5.61,57%,0.44,16%,80%,0.3,a20d7dfaba74c067
106,Carina Damm,Record: 2-13-0,"5' 4""",135 lbs.,"66.0""",--,1979.02.07,0.0,0%,0.0,0%,0.0,0%,0%,0.0,033343da4c0cff8a
107,Cindy Dandois,Record: 8-3-0,"5' 7""",135 lbs.,"68""",Orthodox,"Oct 26, 1984",3.13,32%,3.4,58%,5.0,55%,0%,0.0,9eef6584fab21fbb
108,Jarjis Danho,Record: 6-1-1 (1 NC),"6' 3""",265 lbs.,"74""",Orthodox,"Oct 15, 1983",3.39,48%,5.77,47%,0.57,20%,100%,0.0,8614b7134913f5d5
109,Raymond Daniels,Record: 0-1-0,"6' 2""",185 lbs.,"74.5""",Southpaw,1980.04.29,0.0,0%,2.61,38%,0.0,0%,33%,3.0,fccb0fee256b7b4d
110,Marques Daniels,Record: 5-5-0,"5'8""",155 lbs.,--,--,1978.06.14,0.0,0%,0.0,0%,0.0,0%,0%,0.0,55a80a9365bc107d
111,Alexandre Dantas,Record: 0-3-0,"6' 2""",238 lbs.,--,Orthodox,"Mar 01, 1979",0.21,25%,1.87,60%,0.0,0%,0%,3.1,8dc46e9a7895ce1a
112,Eduardo Dantas,Record: 20-4-0,"5' 10""",135 lbs.,"69.0""",--,"Feb 03, 1989",3.33,60%,3.0,60%,4.0,23%,100%,0.0,676a2e5ec4d7338c
113,Mac Danzig,Record: 21-12-1,"5' 8""",155 lbs.,"70""",Orthodox,"Jan 02, 1980",3.39,48%,3.44,57%,1.2,37%,46%,0.6,86f582852a5b240a
114,Karen Darabedyan,Record: 13-6-0,"5' 7""",155 lbs.,"68""",Orthodox,"Dec 18, 1986",3.43,51%,2.62,67%,2.14,75%,0%,0.0,d2fa318f34d0aadc
115,Beneil Dariush,Record: 19-4-1,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989",3.98,49%,2.63,59%,1.75,32%,80%,1.1,08af939f41b5a57b
116,Sean Daugherty,Record: 0-2-0,"6' 0""",175 lbs.,--,--,"Dec 04, 1975",0.0,0%,0.0,0%,0.0,0%,0%,0.0,a683f9ddb70aa4bd
117,Kyle Daukaus,Record: 9-1-0,"6' 3""",185 lbs.,"76""",Southpaw,"Feb 27, 1993",3.4,64%,2.17,39%,2.5,50%,90%,2.0,d6c0cdd7e467c440
118,Chris Daukaus,Record: 10-3-0,"6' 3""",250 lbs.,"76""",Orthodox,"Sep 25, 1989",9.58,62%,3.45,67%,0.0,0%,0%,0.0,d0aaedcf7ccd0b45
119,Brian Davidson,Record: 13-4-0,"5' 6""",145 lbs.,"70.0""",--,1975.11.22,0.0,0%,0.0,0%,0.0,0%,0%,0.0,42775dc893603154
120,Rick Davis,Record: 3-1-1,"5' 9""",155 lbs.,--,Orthodox,--,3.09,50%,6.19,64%,0.0,0%,0%,0.0,2549d63da9c456cb
121,Marcus Davis,Record: 22-11-0 (1 NC),"5' 10""",170 lbs.,"70""",Southpaw,"Aug 24, 1973",2.72,39%,2.79,65%,1.6,48%,47%,1.4,b7d524c77c27389b
122,LC Davis,Record: 23-8-0,"5' 8""",135 lbs.,"69""",Southpaw,"Oct 28, 1980",2.04,30%,2.1,59%,2.27,46%,66%,0.2,6dab8ce5e4bffe77
123,Phil Davis,Record: 17-4-0 (1 NC),"6' 2""",205 lbs.,"79""",Orthodox,"Sep 25, 1984",2.85,34%,1.33,72%,2.99,38%,72%,0.6,902ab9197b83d0db
124,Lemont Davis,Record: 2-6-0,"5' 8""",170 lbs.,--,Orthodox,--,0.87,54%,1.27,55%,1.0,50%,0%,1.0,a993ef2dd36cea5f
125,Mike Davis,Record: 2-0-0,--,--,--,--,--,0.0,0%,0.0,0%,0.0,0%,0%,0.0,c8661e204c66f325
126,Justin Davis,Record: 13-16-0,"5' 11""",205 lbs.,--,--,"Apr 01, 1983",0.0,0%,0.0,0%,0.0,0%,0%,0.0,20697b334f6c0a45
127,Alexis Davis,Record: 19-10-0,"5' 6""",125 lbs.,"68""",Orthodox,"Oct 04, 1984",4.27,46%,4.18,55%,0.74,33%,32%,0.8,4c2d90e335e6df19
128,Danny Davis,Record: 13-11-1,"6' 2""",170 lbs.,"77.0""",--,"Jul 28, 1982",0.0,0%,0.0,0%,0.0,0%,0%,0.0,570d40f993171b19
129,Brandon Davis,Record: 10-8-0,"5' 10""",135 lbs.,"72""",Orthodox,"May 08, 1990",4.65,35%,4.33,60%,0.71,45%,56%,0.1,cc351e408bbb7d43
130,Mike Davis,Record: 8-2-0,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 07, 1992",5.87,54%,6.36,54%,0.77,33%,66%,0.0,fb3e61720be4690c
131,Hakeem Dawodu,Record: 12-1-1,"5' 8""",145 lbs.,"73""",Orthodox,"Jul 02, 1991",5.15,47%,2.31,63%,0.0,0%,85%,0.0,2c9d00968f818270
132,Grant Dawson,Record: 16-1-0,"5' 10""",145 lbs.,"72""",Switch,"Feb 20, 1994",3.5,47%,2.13,50%,4.17,45%,33%,2.1,99bd51917728c25d
133,Jason Day,Record: 19-12-0,"6' 0""",185 lbs.,"72""",Orthodox,"May 19, 1981",3.61,54%,3.46,47%,1.13,100%,0%,0.0,a6fd2173d5e2d7f0
134,Martin Day,Record: 8-4-0,"5' 10""",135 lbs.,"73""",Orthodox,"Nov 10, 1988",5.39,45%,3.99,58%,0.7,50%,72%,0.7,ea3dcc417c322064
135,Angel De Anda,Record: 18-6-0,"5' 9""",225 lbs.,--,Orthodox,"May 28, 1985",5.68,46%,6.32,47%,0.0,0%,0%,0.0,4b450aa602611baa
136,Yorgan De Castro,Record: 6-2-0,"6' 0""",250 lbs.,"74""",Orthodox,"Dec 19, 1986",2.61,44%,3.9,55%,0.0,0%,75%,0.0,1eff7bc0f815b270
137,Geraldo de Freitas,Record: 12-5-0,"5' 7""",135 lbs.,"72""",Orthodox,"Sep 30, 1991",2.97,47%,2.3,49%,4.0,50%,60%,0.0,9cfbfae5fa1fdd93
138,Philip De Fries,Record: 12-6-0 (1 NC),"6' 5""",250 lbs.,"79""",Orthodox,"Apr 21, 1986",2.3,47%,3.0,37%,3.29,42%,100%,0.6,6ef65b6a152e49d5
139,Chris de la Rocha,Record: 5-3-0,"6' 3""",250 lbs.,"80""",Orthodox,"May 15, 1979",4.08,45%,6.37,43%,2.02,30%,33%,1.0,e51ee8ded927fc51
140,Montana De La Rosa,Record: 11-6-0,"5' 7""",125 lbs.,"68""",Orthodox,"Feb 14, 1995",3.03,35%,3.38,46%,1.96,30%,57%,1.5,80d8aed0ca9b00f3
141,Mark De La Rosa,Record: 11-5-0,"5' 6""",135 lbs.,"65""",Orthodox,"Aug 31, 1994",3.13,35%,5.0,48%,0.54,13%,40%,0.2,f57dd0bfa8c17813
142,Mike de la Torre,Record: 14-7-0 (1 NC),"5' 11""",145 lbs.,"71""",Orthodox,"Sep 22, 1986",3.21,39%,4.75,51%,0.36,16%,83%,0.0,1971869b7e054261
143,Rodrigo de Lima,Record: 8-3-1,"5' 7""",155 lbs.,"75""",Orthodox,"Mar 12, 1991",1.29,33%,5.5,32%,2.66,36%,0%,1.3,a4dc47001f202bcd
144,Edilberto de Oliveira,Record: 29-15-2,"6' 0""",170 lbs.,--,Orthodox,"Nov 22, 1982",4.12,32%,6.79,61%,0.0,0%,0%,0.0,afdb76fbd86f6d11
145,Johil de Oliveira,Record: 17-15-1 (1 NC),"5' 6""",170 lbs.,--,Orthodox,1969.08.07,0.51,34%,0.73,58%,1.1,50%,44%,0.6,f9aa6376ae16bfb4
146,Jorge de Oliveira,Record: 9-2-0,"5' 8""",155 lbs.,"71""",Orthodox,"Jan 22, 1980",1.26,31%,4.84,48%,0.0,0%,22%,0.0,ddf3e0ea10ea6d8c
147,Maria De Oliveira Neta,Record: 10-5-0,"5' 5""",115 lbs.,--,Orthodox,"Dec 12, 1996",2.62,42%,11.48,23%,0.0,0%,0%,0.0,37d752ec41ed84bb
