,FIGHTER,DOB,HEIGHT,REACH,STANCE,FIGHTER_ID
43,Tim Elliott,1986-12-24,170.18,167.64,SOU,c96d9178c9ed9e62
44,Eddy Ellis,1983-07-07,175.26,175.26,ORT,e60d773a0a42048a
45,Lisa Ellis,1982-11-15,162.56,157.48,,77350fd0e6d1dba8
46,Anna Elmose,1984-10-06,160.02,165.1,ORT,1536a25e16fc299b
47,Cameron Else,1987-04-27,175.26,180.34,SWI,5f3da9a9610d8969
48,Aaron Ely,1989-03-18,172.72,177.8,,1741343f0ca34dd5
49,Sovannahry Em,1992-06-26,162.56,162.56,,45c8fed13a62fe92
50,Ramazan Emeev,1987-05-23,177.8,193.04,SOU,abd5fb12437eda21
51,Aleksander Emelianenko,1981-08-02,198.12,198.12,ORT,f54200f1dfb9b5d4
52,Fedor Emelianenko,1976-09-28,182.88,187.96,ORT,b8da6f5c80ae2d15
53,Rob Emerson,1981-07-30,175.26,177.8,ORT,dc0f07928009a127
54,Jamall Emmers,1989-07-24,177.8,187.96,ORT,e00a3dee329a51f7
55,Josh Emmett,1985-03-04,167.64,177.8,ORT,fba03cd6cc28dc41
56,Marius Enache,1975-10-16,180.34,177.8,,e3f443e4cbc3da8f
57,Kevin Engel,1980-04-09,187.96,187.96,,d2f310b5b072e986
58,Oliver Enkamp,1991-08-10,182.88,195.58,SWI,330bafba312face4
59,Alex Enlund,1987-05-27,177.8,185.42,ORT,d238217e0f8ea8e1
60,Kenny Ento,,187.96,187.96,,daf9be103c1edbbd
61,Ian Entwistle,1986-11-19,165.1,162.56,ORT,d7adfcfdf7c6c1f8
62,Andy Enz,1991-08-15,190.5,198.12,ORT,993d385f5a475375
63,Won Jin Eoh,,170.18,170.18,ORT,bc7cf284c1c2f16e
64,Josh Epps,1986-08-23,170.18,170.18,,984b0c4c6e773a1c
65,Tom Erikson,1964-07-06,190.5,190.5,ORT,7b9a85e5ff31ef47
66,Konstantin Erokhin,1983-01-31,180.34,185.42,ORT,22061ff217907c78
67,Julian Erosa,1989-07-31,185.42,187.96,SOU,902ec2cc48c8ae8a
68,Nick Ertl,,175.26,175.26,,74061adb224be3cc
69,Chel Erwin-Davis,1986-07-10,182.88,191.77,,c26ea30823f37316
70,Bobby Escalante,1989-07-11,167.64,167.64,,f7ede18b4ec4ec1f
71,Eric Esch,1968-08-03,180.34,182.88,ORT,0e4daed84a8f39a6
72,Pro Escobedo,,,,,b36874652ed7715d
73,Cole Escovedo,1981-08-30,170.18,182.88,ORT,5df17b3620145578
74,Efrain Escudero,1986-01-15,175.26,180.34,ORT,83fd97284f4bb4a4
75,Evan Esguerra,1978-07-13,170.18,170.18,,ed220e87bef0cc64
76,Carla Esparza,1987-10-10,154.94,160.02,ORT,d910665038efc639
77,Juan Espino,1980-10-09,190.5,203.2,ORT,ccf5dc41417e9daf
78,Jordan Espinosa,1989-11-08,167.64,175.26,ORT,215a70f073a7b726
79,Jodie Esquibel,1986-05-07,154.94,162.56,ORT,411539901068522f
80,Terry Etim,1986-01-11,185.42,185.42,ORT,33011768c3c4dc9a
81,Fred Ettish,1955-10-12,182.88,182.88,SOU,8d5daf67983b65ba
82,Scott Ettling,1992-07-17,175.26,171.45,,74b5736f1df40be3
83,Sijara Eubanks,1985-04-27,162.56,170.18,ORT,4234f0097c83fa62
84,Billy Evangelista,1980-10-07,172.72,172.72,ORT,9766ed20b68c7c33
85,Rashad Evans,1979-09-25,182.88,190.5,ORT,ee779c43a8926d52
86,Doug Evans,1980-10-10,175.26,175.26,ORT,d3de4a24f7eefac8
87,Ashlee Evans-Smith,1987-07-09,172.72,170.18,ORT,fc6e681bf6658faf
88,Dan Evensen,1974-06-01,190.5,190.5,ORT,dd8aec6de7035943
89,Tonya Evinger,1981-06-04,170.18,177.8,ORT,b12a1d19ee383b7c
90,Movsar Evloev,1994-02-11,170.18,182.88,ORT,76e2870ffafbe38f
91,Andre Ewell,1988-01-21,172.72,190.5,SOU,5f6f049d54728e88
92,Neal Ewing,1985-09-30,185.42,193.04,,0798f558681d0eb5
93,Jessica Eye,1986-07-27,167.64,167.64,ORT,f72465a784c1b084
94,Sarah D'alelio,1980-12-13,170.18,170.18,,ac45450f75d14f16
95,Marcos da Matta,1973-03-18,162.56,162.56,,3b6d84343579fd33
96,Henrique da Silva,1989-09-01,190.5,193.04,ORT,b0bd0c5425668b8f
97,Alex Da Silva,1996-02-04,172.72,185.42,ORT,c3ded6f7155f9ea4
98,Henrique Da Silva Lopes,1985-03-08,190.5,190.5,,1f8cd7634e8286ff
99,Nicolas Dalby,1984-11-16,180.34,187.96,ORT,9d19d9e4aa2662e8
100,Paul Daley,1983-02-21,175.26,193.04,ORT,23725c826c481e7f
101,Dave Dalgliesh,1978-04-05,187.96,187.96,ORT,ddbd0d6259ce57cc
102,Richard Dalton,,185.42,185.42,ORT,6cd3dfc54f01287f
103,Aisling Daly,1987-12-24,157.48,162.56,ORT,e50cd77732d39967
104,Marko Damiani,,182.88,182.88,,6e9b5c74c0860deb
105,Rodrigo Damm,1980-02-03,170.18,180.34,ORT,a20d7dfaba74c067
106,Carina Damm,1979-02-07,162.56,167.64,,033343da4c0cff8a
107,Cindy Dandois,1984-10-26,170.18,172.72,ORT,9eef6584fab21fbb
108,Jarjis Danho,1983-10-15,190.5,187.96,ORT,8614b7134913f5d5
109,Raymond Daniels,1980-04-29,187.96,189.23,SOU,fccb0fee256b7b4d
110,Marques Daniels,1978-06-14,172.72,172.72,,55a80a9365bc107d
111,Alexandre Dantas,1979-03-01,187.96,187.96,ORT,8dc46e9a7895ce1a
112,Eduardo Dantas,1989-02-03,177.8,175.26,,676a2e5ec4d7338c
113,Mac Danzig,1980-01-02,172.72,177.8,ORT,86f582852a5b240a
114,Karen Darabedyan,1986-12-18,170.18,172.72,ORT,d2fa318f34d0aadc
115,Beneil Dariush,1989-05-06,177.8,182.88,SOU,08af939f41b5a57b
116,Sean Daugherty,1975-12-04,182.88,182.88,,a683f9ddb70aa4bd
117,Kyle Daukaus,1993-02-27,190.5,193.04,SOU,d6c0cdd7e467c440
118,Chris Daukaus,1989-09-25,190.5,193.04,ORT,d0aaedcf7ccd0b45
119,Brian Davidson,1975-11-22,167.64,177.8,,42775dc893603154
120,Rick Davis,,175.26,175.26,ORT,2549d63da9c456cb
121,Marcus Davis,1973-08-24,177.8,177.8,SOU,b7d524c77c27389b
122,LC Davis,1980-10-28,172.72,175.26,SOU,6dab8ce5e4bffe77
123,Phil Davis,1984-09-25,187.96,200.66,ORT,902ab9197b83d0db
124,Lemont Davis,,172.72,172.72,ORT,a993ef2dd36cea5f
125,Mike Davis,,,,,c8661e204c66f325
126,Justin Davis,1983-04-01,180.34,180.34,,20697b334f6c0a45
127,Alexis Davis,1984-10-04,167.64,172.72,ORT,4c2d90e335e6df19
128,Danny Davis,1982-07-28,187.96,195.58,,570d40f993171b19
129,Brandon Davis,1990-05-08,177.8,182.88,ORT,cc351e408bbb7d43
130,Mike Davis,1992-10-07,182.88,182.88,ORT,fb3e61720be4690c
131,Hakeem Dawodu,1991-07-02,172.72,185.42,ORT,2c9d00968f818270
132,Grant Dawson,1994-02-20,177.8,182.88,SWI,99bd51917728c25d
133,Jason Day,1981-05-19,182.88,182.88,ORT,a6fd2173d5e2d7f0
134,Martin Day,1988-11-10,177.8,185.42,ORT,ea3dcc417c322064
135,Angel De Anda,1985-05-28,175.26,175.26,ORT,4b450aa602611baa
136,Yorgan De Castro,1986-12-19,182.88,187.96,ORT,1eff7bc0f815b270
137,Geraldo de Freitas,1991-09-30,170.18,182.88,ORT,9cfbfae5fa1fdd93
138,Philip De Fries,1986-04-21,195.58,200.66,ORT,6ef65b6a152e49d5
139,Chris de la Rocha,1979-05-15,190.5,203.2,ORT,e51ee8ded927fc51
140,Montana De La Rosa,1995-02-14,170.18,172.72,ORT,80d8aed0ca9b00f3
141,Mark De La Rosa,1994-08-31,167.64,165.1,ORT,f57dd0bfa8c17813
142,Mike de la Torre,1986-09-22,180.34,180.34,ORT,1971869b7e054261
143,Rodrigo de Lima,1991-03-12,170.18,190.5,ORT,a4dc47001f202bcd
144,Edilberto de Oliveira,1982-11-22,182.88,182.88,ORT,afdb76fbd86f6d11
145,Johil de Oliveira,1969-08-07,167.64,167.64,ORT,f9aa6376ae16bfb4
146,Jorge de Oliveira,1980-01-22,172.72,180.34,ORT,ddf3e0ea10ea6d8c
147,Maria De Oliveira Neta,1996-12-12,165.1,165.1,ORT,37d752ec41ed84bb
148,Isabela de Padua,1991-09-04,160.02,162.56,ORT,e0f959f65d0406b4
149,Gloria de Paula,1995-06-10,165.1,166.88,,5dd180c8b3196786
150,Germaine de Randamie,1984-04-24,175.26,180.34,ORT,1d239d571e342453
151,Crezio de Souza,,,,ORT,3746e21bb508391a
152,Tom DeBlass,1982-05-14,182.88,190.5,ORT,0bcfe2513cb3bc39
153,Issac DeJesus,,,,,0e2c2daf11b5d8f2
154,Rafael  Del Real,,180.34,180.34,,e82b2adcaeff71ec
155,Shane del Rosario,1983-09-23,193.04,200.66,SOU,85980f5da429c0a6
156,Humberto DeLeon,1989-11-12,162.56,170.18,,bfaf4c87936b4fae
157,Rolando Delgado,1981-11-22,190.5,195.58,ORT,37b1696e6d115957
158,Israel Delgado,1985-11-22,177.8,177.8,,01f4bcd26ac08ad5
159,Ante Delija,1990-08-07,193.04,200.66,ORT,7d8435c56043b0ae
160,Roland Delorme,1983-12-18,175.26,180.34,ORT,173acb3f920082b8
161,Jon Delos Reyes,1987-08-19,167.64,170.18,ORT,0d0351c20169a499
162,Jason DeLucia,1969-07-24,180.34,180.34,SOU,6ceff86fae4f6b3b
163,Justin DeMoney,1985-07-01,180.34,180.34,,985bca5a097fb3f4
164,Vanessa Demopoulos,1988-09-22,157.48,149.86,ORT,2c483cf443f38ece
165,Chris Dempsey,1987-09-08,177.8,182.88,ORT,dfae5da5676e4194
166,Nick Denis,1983-10-11,170.18,177.8,ORT,e4aaaa34535e32b6
167,Thomas Denny,1971-04-19,177.8,177.8,ORT,a11a6ee8eeb03c18
168,Robert Densley,,175.26,175.26,,b72f3cafa6376e35
169,Jason Dent,1980-06-12,177.8,180.34,ORT,fa8b9e6b0c2269f8
170,Mackenzie Dern,1993-03-24,162.56,160.02,ORT,7447e9f28508106a
171,Booker DeRousse,1981-03-23,187.96,187.96,,f2c91b67f71bbeab
172,Tony DeSouza,1974-07-26,182.88,177.8,SOU,6ad9058b7c7898b0
173,Cory Devela,1984-08-05,152.4,194.31,ORT,48544433372ecfa6
174,John Devine,,193.04,198.12,,2bcc39af95d6f2e8
175,Edwin DeWees,1982-08-07,185.42,185.42,ORT,75bbd2206a15319f
176,Alessio Di Chirico,1989-12-12,182.88,187.96,ORT,77d7295d1b22c694
177,Micol Di Segni,1987-12-29,160.02,152.4,ORT,8126e4dff0cdf69e
178,Cyrille Diabate,1973-10-06,198.12,205.74,SOU,43563a32c3f10e95
179,Thomas Diagne,1983-09-03,185.42,193.04,,8567466ae167216b
180,Marc Diakiese,1993-03-16,177.8,185.42,ORT,32c355b04fc57f3a
181,Tyler Diamond,1991-03-18,170.18,175.26,ORT,f5f6419c5f00abad
182,Eldo Xavier Dias,1964-07-16,180.34,180.34,,ee5df903f80c6816
183,Rafael Dias,1979-10-20,175.26,175.26,ORT,b5abaa65f87938eb
184,Hacran Dias,1984-06-16,172.72,175.26,ORT,ed209f6618c82e41
185,Nick Diaz,1983-08-02,185.42,193.04,SOU,f57a8a52ca401ed9
186,Nate Diaz,1985-04-16,182.88,193.04,SOU,8355922d564b152c
187,Michael Diaz,,,,,5e7a48e469770615
188,Ryan Diaz,1979-02-06,170.18,170.18,,ceee5dd37253199a
189,Adrian Diaz,1988-04-26,177.8,180.34,SOU,bfa8f263815cfa2e
190,Mark Dickman,1984-07-19,175.26,191.77,,2482ef3331a82e75
191,Josh Diekmann,1976-10-09,162.56,185.42,,414bddf0c80c41e1
192,Kyle Dietz,1986-04-29,172.72,172.72,ORT,31da66df48c0c1a0
193,Seth Dikun,1980-08-05,177.8,175.26,ORT,eb42d4febfafefd1
194,TJ Dillashaw,1986-02-07,167.64,170.18,ORT,c849740a3ff51931
195,Ralph Dillon,,187.96,187.96,ORT,b4f7a2d8ecc5e0c3
196,Drew Dimanlig,,182.88,182.88,,cc2ad11b1f9d818b
197,Rodolfo Marques Diniz,1984-01-23,167.64,167.64,,2d2239d0f6fa83dd
198,Helio Dipp,1979-12-12,195.58,195.58,ORT,73eb2a552c92a821
199,Rico DiSciullo,1986-10-12,172.72,180.34,ORT,ec7f7263bf36579b
200,Matt Dixon,1995-10-09,177.8,190.5,SWI,1db445a4468447d0
201,John Dixson,1961-10-15,182.88,182.88,ORT,ad4e9055bf8cd04d
202,Anthony Do,1993-04-11,162.56,162.56,,7c9aeba0c4d4bd78
203,Russell Doane,1986-08-13,170.18,177.8,ORT,f50d95223751e6ca
204,Drew Dober,1988-10-19,172.72,177.8,SOU,519e4fe37ce9ff75
205,Shana Dobson,1989-03-30,167.64,175.26,ORT,122ac9b816d8b71c
206,David Dodd,1973-09-22,187.96,187.96,ORT,c2a7623f398d9bd7
207,John Dodson,1984-09-26,160.02,167.64,ORT,99506df1af6c8b3b
208,Joe Doerksen,1977-10-09,182.88,190.5,ORT,dbaaf42313af90fa
209,Mike Dolce,1976-04-15,180.34,180.34,,29b5791e51e7e832
210,Roman Dolidze,1988-07-15,187.96,193.04,ORT,327d5f279895110d
211,Cameron Dollar,1987-05-12,180.34,181.61,ORT,3bbcd63a016d9715
212,CB Dollaway,1983-08-10,187.96,193.04,ORT,5d7bdab5e03e3216
213,Dennis Dombrow,1986-03-17,170.18,170.18,,4145caa2c999fbac
214,OJ Dominguez,,,,,1a50e734bb54861a
215,John Donaldson,1992-07-09,172.72,172.72,,1c610f900f9884ab
216,Cody Donovan,1981-02-20,190.5,187.96,ORT,7bc96507e4b38d3b
217,Houston Dorr,,185.42,185.42,ORT,312f47c3d2f83ffa
218,Rafael Dos Anjos,1984-10-26,172.72,177.8,SOU,6a2f7c151031653d
219,Junior Dos Santos,1984-01-30,193.04,195.58,ORT,63def5a5662a6917
220,Geronimo dos Santos,1980-08-17,190.5,190.5,ORT,b51f6791c794e289
221,Antonio Dos Santos,1988-07-21,177.8,182.88,ORT,81b8b3fb019dc69d
222,Anderson Dos Santos,1985-07-24,165.1,177.8,ORT,bbc9ab95fa766493
223,Tiago dos Santos e Silva,1987-04-12,175.26,177.8,ORT,8ce87f7e3a9baed2
224,Oleksandr Doskalchuk,1990-03-13,167.64,167.64,SOU,86cb6f5b1ca98dc0
225,David Douglas,1981-08-16,180.34,187.96,,7cf0944b88966118
226,Damion Douglas,1982-08-16,182.88,181.61,,ce3b669e39418414
227,John Dowdy,,,,,e780ccc79a209985
228,Jordan Dowdy,1986-05-23,185.42,189.23,,0d9312337fdce39a
229,Danny Downes,1986-04-08,182.88,182.88,ORT,a66395395b5f1394
230,Derek Downey,1980-04-27,185.42,185.42,ORT,b05086131c6f5dc5
231,John Doyle,1976-11-21,180.34,180.34,ORT,0509b954421bb327
232,Edson Drago,1977-08-29,193.04,193.04,ORT,f9c7fe2682af3802
233,Kyle Driscoll,1994-09-23,180.34,187.96,ORT,e5e148d4363deff8
234,Chris Drumm,,172.72,172.72,,5fd834edd92c9e50
235,Tomasz Drwal,1982-01-22,185.42,193.04,ORT,679a9054e2815943
236,Robert Drysdale,1981-10-05,190.5,198.12,ORT,d2a9be6bf2de624c
237,Dricus Du Plessis,1994-01-14,185.42,193.04,SWI,0d7b51c9d2649a6e
238,Hugo Duarte,1968-08-09,182.88,182.88,ORT,706404da0775dcbc
239,Antonio Duarte,1987-03-10,170.18,173.99,,29b5d32584e02d8d
240,Joe Duarte,1977-01-25,175.26,172.72,,454c3e9d4cd4a1b3
241,Milana Dudieva,1989-08-04,160.02,154.94,ORT,072a10e85f7d4bff
242,Adin Duenas,1988-07-02,167.64,177.8,,cb6c45b26b0a877a
243,Todd Duffee,1985-12-06,190.5,198.12,ORT,bda04c573563cc2e
244,Joe Duffy,1988-02-18,177.8,185.42,ORT,654ae722109a0d31
245,Alexis Dufresne,1990-08-31,175.26,172.72,ORT,4ae4049426e0161d
246,Jessamyn Duke,1986-06-24,180.34,185.42,ORT,a7ddae0be8b78147
247,Kelly Dullanty,1977-11-04,172.72,172.72,ORT,1a225f04aa6e0739
248,Norma Dumont,1990-10-01,170.18,170.18,ORT,d3f5d33d61cd00c9
249,Evan Dunham,1981-12-18,177.8,177.8,SOU,e5c9de15bb58b1c6
250,Alex Dunworth,,172.72,172.72,,31732a614e7a3d1d
251,Tom Duquesnoy,1993-06-21,170.18,172.72,ORT,e979c76341f19b22
252,Reuben Duran,1983-07-02,170.18,180.34,ORT,4417980b3e798abf
253,Cody Durden,1991-03-29,170.18,170.18,SOU,7f6ed67d3ed3c036
254,Luiz Dutra,1982-05-06,180.34,180.34,ORT,2153a7f8396a46cc
255,Rilley Dutro,1987-09-03,172.72,177.8,ORT,43db649da89fac4b
256,Bill Duvall,,187.96,187.96,SOU,7df4d3c38792b083
257,Merab Dvalishvili,1991-01-10,167.64,172.72,ORT,c03520b5c88ed6b4
258,David Dvorak,1992-06-05,165.1,172.72,ORT,9ada30894bf04e19
259,Matt Dwyer,1989-12-17,193.04,193.04,ORT,8f0d576beba1cfcd
260,Rolando Dy,1990-08-11,172.72,175.26,ORT,55ed59d541f8b90c
261,Yan Cabral,1983-05-13,180.34,185.42,ORT,7cdd3e5d3aa9cb39
262,Alvin Cacdac,,167.64,172.72,ORT,ce7871949b0ed2bf
263,Alex Caceres,1988-06-20,177.8,185.42,SOU,7aa3d6964eff4877
264,Vince Cachero,1989-11-07,167.64,172.72,ORT,ed2a8cc402173781
265,Priscila Cachoeira,1988-08-19,170.18,165.1,ORT,b1e5bcaad32a3cac
266,Travis Calanoc,,172.72,172.72,ORT,90d28fee0af74f2d
267,Ricky Calatayud,1982-10-10,175.26,175.26,,800feaa25700a85f
268,Joanne Calderwood,1985-12-23,167.64,165.1,ORT,12f91bfa8f1f723b
269,Darrion Caldwell,1987-12-19,177.8,187.96,,b7dc25ee40ee8334
270,Taylor Callens,1991-05-21,177.8,177.8,,53d471e9bf5f2fc8
271,Cynthia Calvillo,1987-07-13,162.56,162.56,ORT,98215d037be5bcb7
272,Joe Camacho,1972-03-10,175.26,177.8,ORT,dfb965c9824425db
273,Frank Camacho,1989-05-18,177.8,185.42,ORT,764342d39cdaa54a
274,Fabricio Camoes,1978-12-23,177.8,180.34,ORT,7abe471b61725980
275,Chris Camozzi,1986-11-20,187.96,190.5,ORT,6c2030e0a143a94b
276,Brian Camozzi,1991-06-24,187.96,198.12,ORT,1999ffb5cebc314f
277,Mike Campbell,1982-11-15,175.26,175.26,SOU,f5585e675af7afd4
278,Thomas Campbell,,177.8,177.8,,d060014a5a039829
279,Shane Campbell,1987-01-21,182.88,180.34,ORT,784285b7ae7dd85f
280,John Campetella,,175.26,175.26,ORT,31bbd46d57dfbcb7
281,Wagner Campos,1981-07-31,167.64,167.64,SOU,db6d5f691aea3fd3
282,Derek Campos,1988-04-01,175.26,173.99,,aa8dc72b3a1f761c
283,Will Campuzano,1986-05-27,175.26,177.8,ORT,901cddcbfa079097
284,Aleksa Camur,1995-09-25,185.42,187.96,ORT,c2a670b22d2e196f
285,Chico Camus,1985-01-26,167.64,167.64,ORT,32be4b7f7de1c905
286,Asbel Cancio,,177.8,177.8,,2a7afe14b3a0a058
287,Carlos Candelario,1991-06-04,172.72,170.18,SOU,760a55d5b6098cbe
288,Ronaldo Candido,1989-04-24,167.64,162.56,SOU,23fbe02caabcd214
289,Luiz Cane,1981-04-24,187.96,195.58,SOU,24b033b3daf1c9df
290,Guido Cannetti,1979-12-19,167.64,172.72,SOU,d05412b513b19621
291,Jared Cannonier,1984-03-16,180.34,195.58,SWI,13a0275fa13c4d26
292,Jose Canseco,1964-07-02,193.04,193.04,ORT,03da33a102d9a45f
293,Cody Canterbury,,172.72,172.72,,23100e8f71f25a4a
294,Bo Cantrell,1969-02-08,187.96,187.96,ORT,6750e338922a099d
295,Steve Cantwell,1986-12-08,187.96,190.5,ORT,f1f9e48a0d150757
296,Phil Caracappa,1992-06-05,172.72,177.8,ORT,bd81a97864acf098
297,Frank Caracci,1970-02-16,170.18,170.18,,44f9c777fed7ca03
298,Gina Carano,1982-04-16,172.72,168.91,ORT,899eaba48fa864a6
299,Dos Caras Jr.,1977-05-25,193.04,193.04,ORT,155a02a8b4311057
300,Bryan Caraway,1984-08-04,172.72,172.72,ORT,5ef0088c1b19beeb
301,Remo Cardarelli,,172.72,166.37,,e5512a6aed150d8f
302,Phil Cardella,1976-07-09,180.34,180.34,,f6a7b02c42e9fc5b
303,Edgar Cardenas,,,,,99a86b134dccc166
304,Chris Cariaso,1981-05-27,160.02,162.56,SOU,b2e3aca4cd363477
305,Ronald Carillo,,167.64,167.64,,cbd022eaf2ac546a
306,Rafael Carino,1973-07-16,203.2,203.2,ORT,08a7080ff5904661
307,Don Carlo-Clauss,,170.18,170.18,,f59a6de8a5dfe297
308,Antonio Carlos Junior,1990-03-16,187.96,200.66,ORT,52e76bb4b3e852f3
309,Spike Carlyle,1993-05-06,172.72,180.34,SWI,be68b375707dcb85
310,Francis Carmont,1981-10-11,190.5,198.12,ORT,3591d0d5d382a381
311,Liz Carmouche,1984-02-19,167.64,167.64,ORT,51a0c09cbe9b8472
312,Roan Carneiro,1978-06-02,180.34,193.04,ORT,1c86754617d9813a
313,Ariane Carnelossi,1992-11-17,157.48,154.94,ORT,c0d5c0c95c59050b
314,Luana Carolina,1993-06-11,167.64,175.26,ORT,528b071cf3da7c56
315,Tim Caron,1987-07-24,185.42,185.42,ORT,b80ea4880f25c187
316,Gabriel Carrasco,1981-12-31,167.64,176.53,,89ed44801968b8e3
317,Cody Carrillo,1982-04-15,177.8,175.26,,9346efb4bbaedd08
318,Cain Carrizosa,1986-07-22,172.72,187.96,ORT,064b7dc68d786254
319,Roger Carroll,1982-05-20,177.8,177.8,,572a89dbe1f76761
320,Jonny Carson,1985-06-27,177.8,177.8,,0d49ddc07bd8c747
321,Scott Carson,,187.96,187.96,,1e3302f9ab6f549a
322,Shonie Carter,1972-05-03,177.8,177.8,SOU,7b6e40a73b567072
323,Bruno Carvalho,1982-06-07,172.72,175.26,,456c02115efc4a01
324,Antonio Carvalho,1979-05-30,175.26,177.8,ORT,fef3d17e27e916e7
325,Rafael Carvalho,1986-07-27,190.5,198.12,,620d8710e89cfeae
326,Shane Carwin,1975-01-04,187.96,203.2,ORT,68dd7b3783c19f9c
327,Johnny Case,1989-06-28,177.8,182.88,ORT,1f4b04a926ef1287
328,Kevin Casey,1981-06-15,180.34,195.58,SOU,8d9586726252dbf7
329,Cortney Casey,1987-05-05,170.18,170.18,ORT,5f179af5fffeb9f6
330,Brandon Cash,,195.58,187.96,ORT,3993f7dcb7caf42a
331,Bendy Casimir,1980-06-10,165.1,165.1,SOU,ec7ac09293d26c05
332,Dwayne Cason,,177.8,177.8,ORT,31c01fbc2586a5eb
333,Joe Cason,1988-01-19,190.5,190.5,,2b1c6f28039efe36
334,John Castaneda,1991-12-18,167.64,180.34,SWI,5fa2974cbd18e05c
335,Eric Castile,,172.72,172.72,,a0a69dc9914ef6e1
336,Gil Castillo,1965-10-21,175.26,175.26,SOU,31ceaf0e670c1578
337,Danny Castillo,1979-08-25,175.26,180.34,ORT,d1e7fc58d4225cdf
338,Raul Castillo,,180.34,180.34,ORT,feeae92f951f49a9
339,Jenna Castillo,1982-05-05,157.48,157.48,,e680418329c84ec4
340,Tim Catalfo,1958-07-16,180.34,180.34,ORT,6ca68b636fbc1f18
341,Nick Catone,1981-09-01,182.88,182.88,SOU,f8fe2053d73d7bcf
342,Luke Caudillo,1980-11-30,170.18,170.18,ORT,68d76fd9ecf7431d
343,Gesias Cavalcante,1983-07-06,172.72,180.34,ORT,2a74bbba57058f12
344,Rafael Cavalcante,1980-04-14,185.42,187.96,ORT,5c1ca0c72b599a3c
345,Magnus Cedenblad,1982-04-10,195.58,200.66,ORT,0e21976afc92e4d1
346,Yosdenis Cedeno,1985-02-12,172.72,175.26,ORT,3e61082025db8137
347,Henry Cejudo,1987-02-09,162.56,162.56,ORT,056c493bbd76a918
348,Adam Cella,1985-06-26,187.96,186.69,,b27b8881d7444114
